source_file,source_column,unit,mapped_to_central_column,note
Crop Recommendation using Soil Properties and Weather Prediction.csv,label,not_specified,label,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,n,%,n,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,p,ppm,p,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,k,ppm,k,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,ph,pH,ph,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,soil_color,not_specified,soil_color,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Zinc,ppm,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Sulfur,ppm,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Humidity_Winter,%,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Humidity_Spring,%,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Humidity_Summer,%,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Humidity_Autumn,%,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Max_Temp_Winter,degC,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Max_Temp_Spring,degC,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Max_Temp_Summer,degC,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Max_Temp_Autumn,degC,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Min_Temp_Winter,degC,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Min_Temp_Spring,degC,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Min_Temp_Summer,degC,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Min_Temp_Autumn,degC,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Precipitation_Winter,unknown,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Precipitation_Spring,unknown,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Precipitation_Summer,unknown,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Precipitation_Autumn,unknown,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Wind_Direction,not_specified,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,soil_moisture,fraction_0_1,soil_moisture,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Cloud_Amount,not_specified,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
Crop Recommendation using Soil Properties and Weather Prediction.csv,Wind_Speed_Range,not_specified,,"N is percent; P and K are ppm. Weather features are seasonal, so canonical temperature/rainfall are left blank and original columns are preserved."
