label,n,p,k,ph,temperature,rainfall,humidity,soil_texture
6.0,85.0,58.0,41.0,7.04,21.77,226.66,80.32,0.0
2.0,3.0,9.0,45.0,6.54,23.89,104.62,89.62,3.0
7.0,42.0,67.0,77.0,6.11,18.99,78.71,15.94,1.0
2.0,32.0,13.0,42.0,5.79,23.5,106.62,92.98,3.0
8.0,106.0,21.0,52.0,6.29,28.9,23.04,94.79,3.0
6.0,91.0,35.0,39.0,6.97,23.79,206.26,80.42,0.0
4.0,5.0,23.0,15.0,7.41,25.67,112.54,92.05,1.0
9.0,8.0,54.0,20.0,7.03,28.33,38.8,80.77,1.0
2.0,8.0,26.0,36.0,6.8,18.78,102.52,87.4,3.0
7.0,57.0,73.0,85.0,7.36,18.49,91.95,14.72,1.0
2.0,0.0,5.0,36.0,6.15,24.35,105.53,90.89,3.0
3.0,71.0,54.0,16.0,5.75,22.61,87.76,63.69,3.0
7.0,30.0,70.0,79.0,7.31,20.27,69.64,19.97,1.0
5.0,114.0,8.0,50.0,6.58,24.75,57.96,88.31,2.0
0.0,25.0,63.0,20.0,5.5,15.79,95.17,21.15,0.0
5.0,114.0,8.0,50.0,6.58,24.75,57.96,88.31,2.0
4.0,13.0,22.0,5.0,7.76,19.67,100.17,90.5,1.0
6.0,90.0,44.0,38.0,7.47,23.84,241.2,83.88,0.0
3.0,99.0,36.0,20.0,6.67,20.58,78.35,65.35,3.0
4.0,37.0,23.0,12.0,6.4,31.53,113.12,90.51,1.0
9.0,21.0,51.0,15.0,6.68,29.36,48.3,89.19,1.0
9.0,10.0,59.0,15.0,6.32,29.83,58.87,89.3,1.0
0.0,25.0,57.0,19.0,5.57,17.15,88.0,19.87,0.0
8.0,100.0,14.0,49.0,6.37,29.49,26.02,91.08,3.0
0.0,31.0,55.0,22.0,5.87,22.91,109.23,21.34,0.0
3.0,77.0,58.0,19.0,5.79,22.81,101.6,56.51,3.0
7.0,60.0,61.0,78.0,6.32,20.71,94.04,19.84,1.0
6.0,97.0,36.0,45.0,6.94,22.23,278.08,81.86,0.0
7.0,52.0,68.0,78.0,6.9,17.49,86.05,16.96,1.0
4.0,9.0,8.0,15.0,7.99,14.34,110.22,94.36,1.0
6.0,60.0,36.0,43.0,5.29,23.43,219.9,83.06,0.0
5.0,97.0,22.0,50.0,6.77,26.26,58.98,86.15,2.0
5.0,109.0,21.0,55.0,6.77,24.9,57.45,89.74,2.0
