label,area,soil_type,ph,n,p,k,humidity,temperature,rainfall
jowar,,,5.52,80.0,40.0,40.0,,27.276,15.34
wheat,,,6.6,60.0,30.0,30.0,,27.276,15.34
wheat,,,6.5,60.0,30.0,30.0,,27.276,15.34
barley,,,5.52,70.0,40.0,45.0,,22.76,19.38
rapeseed,,,5.18,50.0,40.0,20.0,,22.766,19.38
tomatoes,,sandy loam,6.35,106.0,10.0,49.0,92.01,27.73,20.21
tomatoes,,sandy loam,6.35,106.0,10.0,49.0,92.01,27.73,20.21
tomatoes,,sandy loam,6.35,106.0,10.0,49.0,92.01,27.73,20.21
muskmelon,,,6.350623739,106.0,10.0,49.0,92.00687531,27.72653142,20.21126747
muskmelon,,,6.350623739,106.0,10.0,49.0,92.00687531,27.72653142,20.21126747
tomatoes,,sandy loam,6.1,102.0,25.0,50.0,92.91,28.2,20.36
muskmelon,,,6.099662369,102.0,25.0,50.0,92.91440379,28.20480805,20.36001144
muskmelon,,,6.099662369,102.0,25.0,50.0,92.91440379,28.20480805,20.36001144
tomatoes,,sandy loam,6.25,84.0,29.0,49.0,93.91,29.94,20.39
tomatoes,,sandy loam,6.25,84.0,29.0,49.0,93.91,29.94,20.39
tomatoes,,sandy loam,6.25,84.0,29.0,49.0,93.91,29.94,20.39
tomatoes,,sandy loam,6.25,84.0,29.0,49.0,93.91,29.94,20.39
tomatoes,,sandy loam,6.25,84.0,29.0,49.0,93.91,29.94,20.39
tomatoes,,sandy loam,6.25,84.0,29.0,49.0,93.91,29.94,20.39
tomatoes,,sandy loam,6.25,84.0,29.0,49.0,93.91,29.94,20.39
tomatoes,,sandy loam,6.25,84.0,29.0,49.0,93.91,29.94,20.39
muskmelon,,,6.251420275,84.0,29.0,49.0,93.90741192,29.94349168,20.39020503
muskmelon,,,6.251420275,84.0,29.0,49.0,93.90741192,29.94349168,20.39020503
tomatoes,,sandy loam,6.34,106.0,20.0,51.0,90.97,29.73,20.49
tomatoes,,sandy loam,6.34,106.0,20.0,51.0,90.97,29.73,20.49
tomatoes,,sandy loam,6.34,106.0,20.0,51.0,90.97,29.73,20.49
tomatoes,,sandy loam,6.34,106.0,20.0,51.0,90.97,29.73,20.49
tomatoes,,sandy loam,6.34,106.0,20.0,51.0,90.97,29.73,20.49
tomatoes,,sandy loam,6.34,106.0,20.0,51.0,90.97,29.73,20.49
tomatoes,,sandy loam,6.34,106.0,20.0,51.0,90.97,29.73,20.49
tomatoes,,sandy loam,6.34,106.0,20.0,51.0,90.97,29.73,20.49
muskmelon,,,6.342573112,106.0,20.0,51.0,90.97015715,29.73019662,20.49035619
muskmelon,,,6.342573112,106.0,20.0,51.0,90.97015715,29.73019662,20.49035619
tomatoes,,sandy loam,6.43,95.0,21.0,47.0,93.56,27.93,20.66
tomatoes,,sandy loam,6.43,95.0,21.0,47.0,93.56,27.93,20.66
tomatoes,,sandy loam,6.43,95.0,21.0,47.0,93.56,27.93,20.66
tomatoes,,sandy loam,6.43,95.0,21.0,47.0,93.56,27.93,20.66
tomatoes,,sandy loam,6.43,95.0,21.0,47.0,93.56,27.93,20.66
tomatoes,,sandy loam,6.43,95.0,21.0,47.0,93.56,27.93,20.66
tomatoes,,sandy loam,6.43,95.0,21.0,47.0,93.56,27.93,20.66
muskmelon,,,6.431970877,95.0,21.0,47.0,93.56161439,27.93114233,20.66127836
muskmelon,,,6.431970877,95.0,21.0,47.0,93.56161439,27.93114233,20.66127836
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.71,109.0,12.0,48.0,92.13,29.46,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.71,109.0,12.0,48.0,92.13,29.46,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
tomatoes,,sandy loam,6.56,118.0,18.0,52.0,90.83,28.05,20.76
